GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,universum.studios.android.universi,UniversiContextDelegate,33,275,9,41,7,63,7,42,0,24
library,universum.studios.android.universi,UniversiActivity.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
library,universum.studios.android.universi,UniversiCompatActivity,176,294,31,20,54,92,28,49,10,41
library,universum.studios.android.universi,UniversiFragmentDelegate,0,19,0,0,0,5,0,3,0,3
library,universum.studios.android.universi,UniversiCompatActivity.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
library,universum.studios.android.universi,UniversiFragment,20,200,5,11,5,66,6,30,2,26
library,universum.studios.android.universi,UniversiActivityDelegate,0,156,0,14,0,40,0,24,0,17
library,universum.studios.android.universi,UniversiFragment.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
library,universum.studios.android.universi,UniversiActivity,73,397,18,33,23,124,18,59,3,48
