GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,universum.studios.android.support.universi,UniversiContextDelegate,37,284,9,41,8,68,8,43,1,25
library,universum.studios.android.support.universi,UniversiActivity,69,431,18,33,21,137,18,62,3,51
library,universum.studios.android.support.universi,UniversiFragment.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
library,universum.studios.android.support.universi,UniversiCompatActivity,197,294,31,20,62,92,30,49,12,41
library,universum.studios.android.support.universi,UniversiActivityDelegate,0,156,0,14,0,40,0,24,0,17
library,universum.studios.android.support.universi,UniversiCompatActivity.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
library,universum.studios.android.support.universi,UniversiFragment,20,214,5,11,5,71,6,31,2,27
library,universum.studios.android.support.universi,UniversiActivity.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
library,universum.studios.android.support.universi,UniversiFragmentDelegate,0,19,0,0,0,5,0,3,0,3
